"","M121_Smoke","M191_Smoke","M205_Smoke","M207_Smoke","M443_Smoke","M447_Smoke","F195_Smoke","F197_Smoke","F201_Smoke","F202_Smoke","F444_Smoke","F445_Smoke","M141_Control","M187_Control","M307_Control","M386_Control","M421_Control","F181_Control","F301_Control","F381_Control","F427_Control"
"17277679",1.83324489436821,1.41247157581399,1.2382523390393,1.15408822026137,0.780440644690205,1.90053348721179,1.02242831357495,1.47111732134774,1.56417241249508,1.3568572537454,1.41473374181128,1.10905170153121,1.20802710545939,1.48435826428373,1.33084908497275,1.12301450308708,2.0256456222816,0.987206103376535,1.07188225976356,1.05329723626375,1.00439632766856
"17424452",2.14718435143321,1.81669105624445,1.32368674451051,2.24263634645416,1.66234610598295,1.62659371999439,2.35248890461567,2.09584176723661,1.94347686131018,1.44060485064767,1.55087331883858,1.5411142665086,1.68636344302986,2.43529826587151,2.15339360933827,1.91777441758672,1.93177893839013,1.70351413038677,1.72695395572578,1.43560647905588,1.80911816984086
"17425978",1.2856217962481,1.69559516125046,1.406673351052,1.72418890905351,0.864943209806667,1.67188896601295,1.63815059681876,1.8761168356194,1.40273726343116,1.21605446016681,0.920844932691127,1.19383288525265,1.70347460532887,1.41912169788484,2.06798428219316,1.59081758110092,1.13579332600839,1.34958561087036,1.38586718858446,2.02113420649403,1.29861046540219
"17275234",1.5108915671405,1.72980062941254,1.37039177333789,1.08398718633768,1.34555399154429,1.81549099877852,1.07285530877627,1.29832615040353,1.42888896467134,1.59265707097025,1.2695523949317,1.11799531334252,2.01516357579308,1.47449092319639,1.44306821685221,2.38791671295911,1.48616335727865,1.34375921404797,1.3612590066436,1.02115441254589,1.08108534375156
"17465728",1.73941983596786,1.72678619067962,2.27229282425322,1.99770567793234,1.99770567793234,1.95084724485023,1.93667072325689,1.88589903686816,2.37695845478618,2.3346899654011,2.41388749335269,1.99770567793234,2.26752964733171,1.64761905397297,2.12410686352697,2.16850280246423,2.92063771262529,1.70306606747036,1.93616366928805,2.5378509572382,2.01118810996262
"17479913",1.2471695947037,1.57013004408275,2.31901691389608,1.92549842156121,1.73536631404288,1.63898880904973,1.98325982249704,2.11290233461752,1.85545284480385,1.71966915466649,1.713147246454,1.35553125794868,2.07411550447765,1.52316818340367,1.74971370076977,2.01757169551688,1.89376067808435,1.50477008465405,1.67931081144592,1.86724449769147,2.18908583881806
"17537345",1.82378136994529,1.5140526945922,1.96324586705291,1.41013860440651,2.76571386234817,1.74224220498154,1.63661220203823,1.92805239918056,1.61115206290919,1.67444547323624,1.15381204840639,1.5544489327991,1.37071889942821,1.60099450366773,2.115985671546,1.45388564841148,1.62890197946264,1.98980436756908,1.7004896940001,1.39265658184974,1.27345547912946
"17255202",3.16153363849592,2.92186917702065,2.92186917702065,2.7443265613313,3.070058633653,2.69193618317886,2.67832562356708,2.69290408277706,2.77551334646362,3.1802270898477,3.19145329260339,3.53254790696402,2.85505490667764,2.93684308242355,2.85386613154677,3.27082372478538,2.9001111954905,2.83053619594669,3.38841068761286,2.49432958124249,2.99105869920003
"17221197",1.69274989622953,1.59689600628015,1.74558446859064,1.41855925921829,1.70608384328473,2.14210979949497,1.74473005487571,1.24797710199883,1.58201867614557,1.40052601482445,1.64552560451721,1.90168815177624,2.01686416668256,1.71307798704711,1.35864668216868,1.78689442261822,1.74120042114219,1.48638089639218,2.25836031886648,1.88940283616936,1.39550534463127
"17520116",1.5227573326978,1.58278938005165,1.25609285044007,1.42279622623763,2.53258724830869,1.4935879903471,1.63176159783786,1.63176159783786,1.16826023666519,1.89417138903551,1.48316094160879,1.9857595152733,1.58924240120927,1.75516155940757,2.52237530078609,1.61194232613147,1.88497587697968,2.17966038035889,1.26311525047423,1.46575076133336,1.87350804114548
"17397467",2.56446436568619,2.16006469483036,2.35595426704721,2.5446450939798,2.56446436568619,3.28836526691369,2.56446436568619,3.02688582587517,2.38382188260988,2.79493784938077,2.65705053111243,2.65688270269151,2.93581547946524,2.40043166740388,3.24338266419737,2.88902927098177,2.45958959844403,2.56446436568619,2.95153119609915,2.5365164377251,2.5563357094315
"17268098",2.10231381420319,1.72596321071623,1.35802336533173,1.7869199516779,1.3759303835673,1.80134731909132,1.59610934188217,2.40264302227968,1.63993052010222,2.73859425557462,2.30399903723233,2.1130487146872,1.52488974333971,2.04001597272521,1.9276825768048,1.94632689122549,1.77480711163464,2.35265515244622,1.96160265334017,1.58755202206515,1.94442936376074
"17214910",2.39512741030547,3.73338978089413,3.38206460457929,3.31207635795135,3.66973953003362,2.2476665611066,3.65579106049141,3.1769300563813,2.64118750918989,1.98516786970897,2.34222334683353,2.20257829213484,2.5140174807347,2.99210303577061,3.64327832424909,2.81268147196973,2.6929559887105,1.92628874852584,2.39792609715414,3.43414342174835,1.57641861263037
"17532242",1.36532280618934,1.50751197309687,1.49662951798233,1.7851337589807,2.14454432099803,2.47722871941335,1.84668383106198,2.2217776115138,1.63712028741917,2.30656505096025,1.54751991437767,1.68958944156256,1.61494008772681,1.65518995568921,1.55192752724351,1.54347158784933,2.05040155693734,1.94491182743344,1.69219339183788,1.71947257497451,1.51111233494728
"17534213",1.64660411574612,2.0198314705977,1.88326192242551,1.60119476714232,1.39260193229884,2.1439027785773,1.4432044193758,1.81977577314863,1.89672061429127,1.73116571433583,1.68131776079816,1.49971197842504,1.25639186017625,1.44701452956822,1.46979132776352,1.62878682503156,1.94281362171102,1.64660411574612,2.96828551046663,2.39398276514735,1.48179758031291
"17490667",1.79048777609004,1.62386033005254,1.8964629546305,2.56921893006905,1.91709132647134,2.32908358939996,2.44357045877432,2.57375585171475,2.42666113789182,2.16890622004658,2.84802127690771,2.1068124595755,2.71340769868541,1.99250547962188,1.74550353067196,2.19957572520717,2.19579506915092,2.37983924658892,2.65222430287277,2.23581636691881,2.00811148545558
"17357211",2.71097680087247,2.46502718892547,2.81777061017528,1.96823690391649,2.61420480252649,3.13440394198766,2.56505454811301,3.3468049905543,2.71097680087247,2.3266080685413,2.32685406443154,3.10235811593977,3.32425787777112,2.63650862548174,3.14778560580391,2.36369757953429,2.8145674774057,2.3627540964169,2.83287050069892,3.9169655234974,2.71097680087247
"17418724",2.42970289943585,2.56855561855319,2.65655808024835,2.93128264413518,3.19377231360133,2.50359450701374,2.8881983846901,2.88097359288315,2.70265089771568,2.85702939160403,2.85727653815565,3.37709705353327,2.85797809174034,2.67085581727858,2.93641058739865,2.5101102419568,2.49908017683714,3.07460136844694,3.23609860817024,3.01157819695172,2.82524839760886
"17326926",1.16989022379496,1.62848780451242,1.50474224462637,1.57251988615497,1.71054829970892,1.88174965162673,1.63193342139273,2.03884713326867,1.67559758109884,1.34500365098446,1.5966666201233,1.24552964074817,1.50474224462637,1.5820019476609,1.01094094778908,1.38782417978968,1.0707152143165,2.05045579676573,1.21712102791139,1.42713542312129,1.69896810941306
"17269220",1.72901480338197,2.00571307366123,1.31251228837064,1.12296896874373,2.20639749541541,1.79808591412262,1.15438347632523,2.12024728796466,1.39225208006364,1.38599207315385,1.47179272828638,1.8616174467834,1.22329443100593,1.39054393581722,1.42762362635734,1.7265532783785,1.60470851219983,1.60859520672555,1.97977690830357,1.2324704923228,1.15150006132043
